Ward,Searches,Bookings,Completed_Trips,Conversion_Rate,Booking_to_Search_Rate,Completion_to_Search_Rate,Completion_Rate_From_Bookings
Other Wards,3071626,954414,589585,19.2,31.071946910203263,19.19455688941297,61.774554857745166
Shantala Nagar,2401161,841607,474271,19.8,35.05000289443315,19.751736764007077,56.35302463026092
Doddakanahalli,1727250,587089,350792,20.3,33.989810392242006,20.309277753654655,59.75107692360102
Agara,1226026,508562,336728,27.5,41.48052325154605,27.464996664018543,66.21178931968964
Koramangala,1169452,515062,334904,28.6,44.04302185981126,28.637686711382766,65.02207501232861
Adugodi,1191234,522711,313312,26.3,43.879791879681065,26.30146553909643,59.93981377855068
Suddagunte Palya,1320628,530825,296399,22.4,40.19489212707894,22.4437918929479,55.83742287948006
Vasanth Nagar,962005,416058,262534,27.3,43.249047562122854,27.290294748987794,63.10033697224906
Bellanduru,1365703,440185,257849,18.9,32.23138559408598,18.880312923087963,58.57741631359542
Hoysala Nagar,703222,326166,217110,30.9,46.381654726387964,30.873607480994618,66.5642648222071
Byrasandra,624214,308615,208058,33.3,49.44057646896737,33.33119731374176,67.41668421820067
Old Thippasandra,633865,310219,203512,32.1,48.9408628020162,32.10652110465162,65.60268713392796
Marathahalli,1129332,369706,202837,18.0,32.73669744592379,17.96079452277984,54.86440577107214
Domlur,703108,308639,201305,28.6,43.89638576150464,28.630736672033315,65.22344875404599
HRBR Layout,495908,280474,194414,39.2,56.55766795453996,39.20364261112949,69.31622895526857
Sampangiram Nagar,918287,355542,188850,20.6,38.71796072469718,20.565465916429176,53.116087550837875
Madivala,751268,315216,187691,25.0,41.9578632392169,24.983228355260707,59.543614537333134
Gandhinagar,583453,292759,183335,31.4,50.17696369716156,31.422411059674044,62.62318152473536
Aramane Nagara,546489,279386,180884,33.1,51.12381036031832,33.099293855869014,64.74340160208457
Jakkuru,629076,291553,179670,28.6,46.34622843662769,28.560936993304466,61.62515906198873
Vinayakanagar,564655,275406,173474,30.7,48.77420725929993,30.722122357899956,62.98846067260698
J P Nagar,526581,266903,172802,32.8,50.68602930983077,32.81584409615995,64.74337118728528
Whitefield,838663,281317,170977,20.4,33.54350913298906,20.38685383759627,60.77734370834326
Munnekollala,993367,297146,166505,16.8,29.913013015330687,16.761680224931975,56.03474386328606
Ejipura,595161,268768,163779,27.5,45.15887297722801,27.51843618785505,60.936941897844974
Jeevanbhima Nagar,658033,264220,160433,24.4,40.153001445216276,24.380692153736973,60.71947619408069
Kempapura,467690,235067,150852,32.3,50.261284183968016,32.254698625157694,64.17404399596711
HSR - Singasandra,633334,250108,145339,22.9,39.490695272952344,22.948239001853683,58.11049626561326
Shakambari Nagar,404779,211098,143850,35.5,52.15142089881145,35.537910810590475,68.14370576698974
New Thippasandra,514162,212511,141334,27.5,41.3315258614989,27.48822355599986,66.5066749485909
Hudi,624101,237996,139066,22.3,38.1342122509017,22.28261130810558,58.43207448864687
Ulsoor,591305,231034,137688,23.3,39.07188337659922,23.285444905759295,59.59642303730187
Horamavu,474215,213193,134402,28.3,44.95703425661356,28.341996773615342,63.04240758373868
C V Raman Nagar,553745,220398,133108,24.0,39.80135260814996,24.037779122159115,60.39437744444142
BTM Layout,592216,225865,131673,22.2,38.13895605657395,22.23394842422359,58.29721293693135
AECS Layout,676398,222152,131372,19.4,32.84338510758459,19.42229279211352,59.136087003493095
Banasavadi,399496,193129,129571,32.4,48.343162384604604,32.43361635660933,67.0903903608469
Hennur,415505,202957,129335,31.1,48.845862263992004,31.127182585047112,63.7253211271353
N S Palya,467723,197602,128229,27.4,42.24765512921109,27.41558572060814,64.89256181617596
Dodda Nekkundi,607388,210757,127586,21.0,34.69890745289666,21.005683352321743,60.537016564099886
Jnana Bharathi,319314,182666,125721,39.4,57.205759847673455,39.37221668952818,68.82561615188376
Sarakki,340594,188967,125071,36.7,55.481599793302294,36.72143373048263,66.18668868109246
Subramanyapura,355850,182249,124196,34.9,51.21511872980188,34.90122242517914,68.14632727751592
Pulikeshinagar,372621,184193,122558,32.9,49.43172821714289,32.89079252108711,66.53781631223771
Kalkere,474310,192404,121528,25.6,40.56503130863781,25.622061520946215,63.16292800565477
Ibluru,529396,192428,120717,22.8,36.348593491450636,22.80277901608626,62.733593863678884
Kalena Agrahara,470987,185254,120613,25.6,39.33314507619106,25.60856244439868,65.10682630334568
Vishveshwara Puram,387229,186643,120170,31.0,48.19964413822312,31.033316203073635,64.38494880600933
