Ward,Bookings,Completed_Trips,Cancelled_Bookings,Booking_Cancellation_Rate,Completion_Rate_From_Bookings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Drivers_Earnings,Distance_Travelled_Km,Estimated_Fare_Revenue,Estimated_Earnings_Per_Completed_Trip,Estimated_Distance_Per_Completed_Trip_Km
Other Wards,954414,589585,364609,38.2,61.774554857745166,10.37,175.04,120007713,7190364,103200958.39999999,203.5460756294682,12.19563591339671
Shantala Nagar,841607,474271,367010,43.6,56.35302463026092,7.48,138.74,71177412,3863534,65800358.54000001,150.07751264572366,8.146258151984835
Doddakanahalli,587089,350792,236139,40.2,59.75107692360102,9.02,159.54,59211778,3354728,55965355.68,168.79455061688978,9.56329676845538
Agara,508562,336728,171714,33.8,66.21178931968964,7.63,137.67,47568017,2633026,46357343.76,141.26540412439715,7.819444774417334
Koramangala,515062,334904,180001,34.9,65.02207501232861,6.97,128.74,44596808,2437405,43115540.96,133.16296013185868,7.27792143420204
Adugodi,522711,313312,209053,40.0,59.93981377855068,7.02,131.45,43890701,2338615,41184862.4,140.08624310591358,7.464173092636094
Suddagunte Palya,530825,296399,234284,44.1,55.83742287948006,7.11,129.98,39411590,2174999,38525942.019999996,132.96802620791567,7.338078063691173
Vasanth Nagar,416058,262534,153393,36.9,63.10033697224906,7.4,132.98,35920222,2032705,34911771.32,136.82121934682746,7.742635239626106
Bellanduru,440185,257849,182240,41.4,58.57741631359542,9.17,160.63,44694374,2550817,41418284.87,173.33545602271096,9.892677497294928
Hoysala Nagar,326166,217110,108961,33.4,66.5642648222071,6.37,119.8,27898914,1504039,26009778.0,128.50128506287135,6.927543641472065
Byrasandra,308615,208058,100479,32.6,67.41668421820067,6.28,113.2,24700142,1372034,23552165.6,118.71757875207875,6.594478462736352
Old Thippasandra,310219,203512,106602,34.4,65.60268713392796,7.01,129.86,27716600,1493473,26428068.320000004,136.19147765242346,7.33850092377845
Marathahalli,369706,202837,166767,45.1,54.86440577107214,9.01,160.03,35748713,2011710,32460005.11,176.24355023984776,9.917865083786488
Domlur,308639,201305,107215,34.7,65.22344875404599,7.06,130.78,28037082,1507904,26326667.9,139.2766299893197,7.4906435508308284
HRBR Layout,280474,194414,85982,30.7,69.31622895526857,6.66,120.75,24694375,1365275,23475490.5,127.0195304864876,7.022513810733795
